lsoa11cd,index_domain,decile,rank,score,year
E01006074,Barriers to Housing and Services,8,"25,719",12.731,2019
E01006074,Crime,8,"24,417",-0.547,2019
E01006074,"Education, Skills and Training",6,"17,856",14.366,2019
E01006074,Employment,3,"9,725",0.12,2019
E01006074,Health Deprivation and Disability,4,"10,951",0.352,2019
E01006074,Income,4,"10,248",0.153,2019
E01006074,Income Deprivation Affecting Children,5,"15,114",0.139,2019
E01006074,Income Deprivation Affecting Older People,3,"8,709",0.219,2019
E01006074,Index of Multiple Deprivation,5,"14,785",19.534,2019
E01006074,Living Environment,6,"18,747",15.584,2019
E01006075,Barriers to Housing and Services,9,"27,217",11.406,2019
E01006075,Crime,4,"11,968",0.297,2019
E01006075,"Education, Skills and Training",10,"32,508",0.515,2019
E01006075,Employment,9,"28,767",0.037,2019
E01006075,Health Deprivation and Disability,9,"28,507",-0.96,2019
E01006075,Income,9,"27,121",0.046,2019
E01006075,Income Deprivation Affecting Children,10,"30,841",0.029,2019
E01006075,Income Deprivation Affecting Older People,7,"20,899",0.094,2019
E01006075,Index of Multiple Deprivation,9,"28,986",6.405,2019
E01006075,Living Environment,5,"14,060",21.679,2019
E01006076,Barriers to Housing and Services,7,"20,255",17.147,2019
E01006076,Crime,4,"10,827",0.373,2019
E01006076,"Education, Skills and Training",10,"32,193",0.844,2019
E01006076,Employment,8,"25,688",0.047,2019
E01006076,Health Deprivation and Disability,9,"28,367",-0.946,2019
E01006076,Income,8,"23,798",0.06,2019
E01006076,Income Deprivation Affecting Children,7,"21,712",0.084,2019
E01006076,Income Deprivation Affecting Older People,9,"27,891",0.056,2019
E01006076,Index of Multiple Deprivation,9,"27,808",7.398,2019
E01006076,Living Environment,8,"24,043",10.023,2019
E01006077,Barriers to Housing and Services,8,"23,535",14.596,2019
E01006077,Crime,6,"17,161",-0.032,2019
E01006077,"Education, Skills and Training",10,"32,187",0.847,2019
E01006077,Employment,6,"18,587",0.071,2019
E01006077,Health Deprivation and Disability,6,"18,435",-0.153,2019
E01006077,Income,6,"18,639",0.085,2019
E01006077,Income Deprivation Affecting Children,8,"24,093",0.069,2019
E01006077,Income Deprivation Affecting Older People,5,"15,581",0.135,2019
E01006077,Index of Multiple Deprivation,7,"22,392",11.808,2019
E01006077,Living Environment,4,"11,797",24.981,2019
E01006078,Barriers to Housing and Services,10,"31,309",6.42,2019
E01006078,Crime,6,"16,818",-0.008,2019
E01006078,"Education, Skills and Training",9,"26,773",5.453,2019
E01006078,Employment,8,"24,297",0.051,2019
E01006078,Health Deprivation and Disability,5,"16,369",-0.024,2019
E01006078,Income,7,"21,815",0.069,2019
E01006078,Income Deprivation Affecting Children,8,"23,187",0.075,2019
E01006078,Income Deprivation Affecting Older People,4,"12,261",0.171,2019
E01006078,Index of Multiple Deprivation,8,"23,992",10.417,2019
E01006078,Living Environment,3,"9,708",28.426,2019
E01006079,Barriers to Housing and Services,7,"22,081",15.694,2019
E01006079,Crime,7,"22,554",-0.409,2019
E01006079,"Education, Skills and Training",10,"32,318",0.723,2019
E01006079,Employment,9,"28,203",0.039,2019
E01006079,Health Deprivation and Disability,8,"26,261",-0.731,2019
E01006079,Income,9,"27,513",0.044,2019
E01006079,Income Deprivation Affecting Children,8,"23,869",0.07,2019
E01006079,Income Deprivation Affecting Older People,9,"28,797",0.052,2019
E01006079,Index of Multiple Deprivation,10,"31,380",4.122,2019
E01006079,Living Environment,10,"31,634",2.485,2019
E01006080,Barriers to Housing and Services,9,"28,851",9.739,2019
E01006080,Crime,7,"20,256",-0.244,2019
E01006080,"Education, Skills and Training",10,"29,661",3.057,2019
E01006080,Employment,8,"24,823",0.05,2019
E01006080,Health Deprivation and Disability,7,"22,269",-0.411,2019
E01006080,Income,9,"26,369",0.049,2019
E01006080,Income Deprivation Affecting Children,10,"30,710",0.03,2019
E01006080,Income Deprivation Affecting Older People,7,"22,145",0.087,2019
E01006080,Index of Multiple Deprivation,9,"27,407",7.715,2019
E01006080,Living Environment,4,"10,520",27.039,2019
E01006081,Barriers to Housing and Services,4,"11,725",24.393,2019
E01006081,Crime,8,"24,121",-0.525,2019
E01006081,"Education, Skills and Training",10,"32,609",0.399,2019
E01006081,Employment,10,"32,215",0.02,2019
E01006081,Health Deprivation and Disability,10,"31,346",-1.401,2019
E01006081,Income,10,"32,230",0.02,2019
E01006081,Income Deprivation Affecting Children,10,"31,052",0.027,2019
E01006081,Income Deprivation Affecting Older People,10,"32,699",0.018,2019
E01006081,Index of Multiple Deprivation,10,"32,057",3.265,2019
E01006081,Living Environment,10,"31,329",2.85,2019
E01006082,Barriers to Housing and Services,7,"20,851",16.667,2019
E01006082,Crime,8,"24,666",-0.566,2019
E01006082,"Education, Skills and Training",10,"32,686",0.299,2019
E01006082,Employment,10,"31,862",0.023,2019
E01006082,Health Deprivation and Disability,10,"30,855",-1.3,2019
E01006082,Income,10,"32,380",0.018,2019
E01006082,Income Deprivation Affecting Children,10,"30,992",0.028,2019
E01006082,Income Deprivation Affecting Older People,10,"32,692",0.019,2019
E01006082,Index of Multiple Deprivation,10,"32,296",2.88,2019
E01006082,Living Environment,7,"21,557",12.452,2019
E01006083,Barriers to Housing and Services,7,"20,518",16.94,2019
E01006083,Crime,6,"17,520",-0.057,2019
E01006083,"Education, Skills and Training",10,"32,768",0.193,2019
E01006083,Employment,10,"32,290",0.019,2019
E01006083,Health Deprivation and Disability,9,"29,327",-1.064,2019
E01006083,Income,10,"32,660",0.014,2019
E01006083,Income Deprivation Affecting Children,10,"32,761",0.008,2019
E01006083,Income Deprivation Affecting Older People,10,"32,324",0.026,2019
E01006083,Index of Multiple Deprivation,10,"31,618",3.857,2019
E01006083,Living Environment,6,"19,688",14.466,2019
E01006084,Barriers to Housing and Services,5,"16,364",20.246,2019
E01006084,Crime,8,"23,829",-0.502,2019
E01006084,"Education, Skills and Training",10,"32,766",0.194,2019
E01006084,Employment,10,"32,047",0.022,2019
E01006084,Health Deprivation and Disability,10,"29,987",-1.155,2019
E01006084,Income,10,"31,917",0.023,2019
E01006084,Income Deprivation Affecting Children,10,"32,805",0.006,2019
E01006084,Income Deprivation Affecting Older People,9,"27,596",0.058,2019
E01006084,Index of Multiple Deprivation,10,"31,472",4.041,2019
E01006084,Living Environment,6,"17,319",17.365,2019
E01006085,Barriers to Housing and Services,10,"30,380",7.928,2019
E01006085,Crime,8,"25,638",-0.649,2019
E01006085,"Education, Skills and Training",10,"32,626",0.38,2019
E01006085,Employment,10,"31,651",0.025,2019
E01006085,Health Deprivation and Disability,9,"29,452",-1.081,2019
E01006085,Income,10,"31,390",0.027,2019
E01006085,Income Deprivation Affecting Children,10,"32,436",0.013,2019
E01006085,Income Deprivation Affecting Older People,9,"28,982",0.051,2019
E01006085,Index of Multiple Deprivation,10,"32,534",2.403,2019
E01006085,Living Environment,7,"21,003",13.052,2019
E01006086,Barriers to Housing and Services,8,"23,059",14.975,2019
E01006086,Crime,9,"26,756",-0.747,2019
E01006086,"Education, Skills and Training",10,"29,955",2.823,2019
E01006086,Employment,6,"19,015",0.069,2019
E01006086,Health Deprivation and Disability,8,"26,005",-0.709,2019
E01006086,Income,6,"18,277",0.088,2019
E01006086,Income Deprivation Affecting Children,6,"18,697",0.106,2019
E01006086,Income Deprivation Affecting Older People,6,"19,441",0.104,2019
E01006086,Index of Multiple Deprivation,9,"26,761",8.247,2019
E01006086,Living Environment,9,"28,315",6.012,2019
E01006087,Barriers to Housing and Services,1,"3,012",37.516,2019
E01006087,Crime,3,"8,471",0.545,2019
E01006087,"Education, Skills and Training",10,"31,575",1.401,2019
E01006087,Employment,10,"30,769",0.029,2019
E01006087,Health Deprivation and Disability,10,"30,429",-1.221,2019
E01006087,Income,9,"28,583",0.04,2019
E01006087,Income Deprivation Affecting Children,10,"30,579",0.031,2019
E01006087,Income Deprivation Affecting Older People,9,"26,904",0.061,2019
E01006087,Index of Multiple Deprivation,7,"22,793",11.456,2019
E01006087,Living Environment,4,"10,485",27.086,2019
E01006088,Barriers to Housing and Services,9,"27,658",10.981,2019
E01006088,Crime,5,"15,382",0.082,2019
E01006088,"Education, Skills and Training",10,"32,800",0.138,2019
E01006088,Employment,10,"30,083",0.032,2019
E01006088,Health Deprivation and Disability,8,"25,006",-0.624,2019
E01006088,Income,10,"29,927",0.034,2019
E01006088,Income Deprivation Affecting Children,10,"31,926",0.02,2019
E01006088,Income Deprivation Affecting Older People,7,"22,272",0.086,2019
E01006088,Index of Multiple Deprivation,9,"27,006",8.057,2019
E01006088,Living Environment,2,"3,942",41.01,2019
E01006089,Barriers to Housing and Services,10,"32,657",2.666,2019
E01006089,Crime,5,"14,420",0.143,2019
E01006089,"Education, Skills and Training",8,"25,959",6.205,2019
E01006089,Employment,8,"25,747",0.047,2019
E01006089,Health Deprivation and Disability,7,"21,205",-0.335,2019
E01006089,Income,8,"23,508",0.061,2019
E01006089,Income Deprivation Affecting Children,8,"24,772",0.065,2019
E01006089,Income Deprivation Affecting Older People,6,"18,651",0.11,2019
E01006089,Index of Multiple Deprivation,7,"22,478",11.737,2019
E01006089,Living Environment,1,"2,789",45.47,2019
E01006090,Barriers to Housing and Services,9,"27,263",11.36,2019
E01006090,Crime,8,"25,648",-0.65,2019
E01006090,"Education, Skills and Training",9,"29,091",3.534,2019
E01006090,Employment,6,"19,696",0.066,2019
E01006090,Health Deprivation and Disability,6,"18,845",-0.18,2019
E01006090,Income,9,"26,401",0.049,2019
E01006090,Income Deprivation Affecting Children,10,"31,563",0.024,2019
E01006090,Income Deprivation Affecting Older People,8,"24,787",0.072,2019
E01006090,Index of Multiple Deprivation,8,"25,538",9.197,2019
E01006090,Living Environment,4,"9,912",28.068,2019
E01006091,Barriers to Housing and Services,6,"19,619",17.629,2019
E01006091,Crime,5,"14,804",0.121,2019
E01006091,"Education, Skills and Training",10,"31,226",1.687,2019
E01006091,Employment,8,"26,182",0.046,2019
E01006091,Health Deprivation and Disability,7,"20,595",-0.296,2019
E01006091,Income,8,"24,795",0.056,2019
E01006091,Income Deprivation Affecting Children,8,"25,619",0.06,2019
E01006091,Income Deprivation Affecting Older People,6,"19,407",0.104,2019
E01006091,Index of Multiple Deprivation,9,"27,571",7.59,2019
E01006091,Living Environment,8,"23,951",10.106,2019
